n,average time
10.0, 45383.3
110.0, 39462.3
210.0, 38970.8
310.0, 36820.7
410.0, 17533.2
510.0, 11629.1
610.0, 10641.6
710.0, 10891.7
810.0, 11666.6
910.0, 10962.5
1010.0, 10937.5
1110.0, 11291.7
1210.0, 13087.6
1310.0, 12424.8
1410.0, 11787.4
1510.0, 9662.5
1610.0, 8208.5
1710.0, 8125.1
1810.0, 8237.6
1910.0, 8541.7
2010.0, 8095.9
2110.0, 6758.2
2210.0, 6554.0
2310.0, 10162.5
2410.0, 12041.8
2510.0, 19850.0
2610.0, 9800.0
2710.0, 9220.9
2810.0, 8212.4
2910.0, 9333.3
3010.0, 8579.1
3110.0, 3966.9
3210.0, 5158.3
3310.0, 4629.1
3410.0, 4145.8
3510.0, 3983.4
3610.0, 4241.6
3710.0, 6537.4
3810.0, 5170.8
3910.0, 3829.1
4010.0, 4370.9
4110.0, 3991.6
4210.0, 3750.0
4310.0, 3866.8
4410.0, 8950.1
4510.0, 8229.3
4610.0, 9458.4
4710.0, 10387.6
4810.0, 9854.1
4910.0, 8316.8
5010.0, 8379.1
5110.0, 7996.0
5210.0, 9629.1
5310.0, 8804.3
5410.0, 8479.1
5510.0, 10100.2
5610.0, 8908.4
5710.0, 9833.2
5810.0, 7804.3
5910.0, 8425.0
6010.0, 8508.5
6110.0, 8766.7
6210.0, 9712.6
6310.0, 11675.0
6410.0, 8425.1
6510.0, 9837.4
6610.0, 9054.1
6710.0, 8979.1
6810.0, 10075.2
6910.0, 9316.7
7010.0, 8866.9
7110.0, 9529.1
7210.0, 9145.7
7310.0, 9287.6
7410.0, 9766.9
7510.0, 9178.9
7610.0, 9258.4
7710.0, 12154.2
7810.0, 9766.8
7910.0, 10354.2
8010.0, 10991.6
8110.0, 9912.3
8210.0, 9708.4
8310.0, 9641.8
8410.0, 9016.9
8510.0, 9587.5
8610.0, 9095.9
8710.0, 9620.9
8810.0, 9545.9
8910.0, 9662.5
9010.0, 8066.7
9110.0, 3454.2
9210.0, 3616.6
9310.0, 4829.3
9410.0, 4220.7
9510.0, 3983.3
9610.0, 4325.0
9710.0, 4045.8
9810.0, 4254.2
9910.0, 4524.9
